"line number","contest name","choice name","party name","total votes","percent of votes","registered voters","ballots cast","num Precinct total","num Precinct rptg","over votes","under votes"
1,"City of Las Animas Light & Power Board 1 (Vote For 2)","David M Beebe","",303,100.00,1554,351,3,3,"0","0"
2,"City of Las Animas City Council Ward 1 (Vote For 1)","Troy L Abdulla","",117,100.00,543,127,1,1,"0","0"
3,"City of Las Animas City Council Ward 2 (Vote For 1)","Tracy L Kim","",29,30.85,447,100,1,1,"0","0"
4,"City of Las Animas City Council Ward 2 (Vote For 1)","David Armstrong","",65,69.15,447,100,1,1,"0","0"
5,"City of Las Animas City Council Ward 3 (Vote For 1)","Frank A Schmeiser","",109,100.00,564,124,1,1,"0","0"
6,"McClave School District RE-2 School Director (Vote For 3)","Justin Ty Miller","",156,26.09,469,223,1,1,"0","0"
7,"McClave School District RE-2 School Director (Vote For 3)","Jack Martin Goble","",164,27.42,469,223,1,1,"0","0"
8,"McClave School District RE-2 School Director (Vote For 3)","Terri S Beckett","",159,26.59,469,223,1,1,"0","0"
9,"McClave School District RE-2 School Director (Vote For 3)","Cecil ''Chad'' Kiniston","",119,19.90,469,223,1,1,"0","0"
10,"Wiley School District RE-13 JT School Director (Vote For 4)","Neil Mauch","",39,23.35,113,47,1,1,"0","0"
11,"Wiley School District RE-13 JT School Director (Vote For 4)","Bradley W Lubbers","",23,13.77,113,47,1,1,"0","0"
12,"Wiley School District RE-13 JT School Director (Vote For 4)","Danielle Wollert","",19,11.38,113,47,1,1,"0","0"
13,"Wiley School District RE-13 JT School Director (Vote For 4)","Clint Bean","",4,2.40,113,47,1,1,"0","0"
14,"Wiley School District RE-13 JT School Director (Vote For 4)","Jeremy Summers","",21,12.57,113,47,1,1,"0","0"
15,"Wiley School District RE-13 JT School Director (Vote For 4)","Josh Weimer","",34,20.36,113,47,1,1,"0","0"
16,"Wiley School District RE-13 JT School Director (Vote For 4)","Chad D Krentz","",27,16.17,113,47,1,1,"0","0"
