"line number","contest name","choice name","party name","total votes","percent of votes","registered voters","ballots cast","num  total","num  rptg","over votes","under votes"
1,"City and County of Broomfield Mayoral ( 1)","T. J. Cole","",8730,43.88,49297,20816,13,13,"0","0"
2,"City and County of Broomfield Mayoral ( 1)","Randy Ahrens","",11167,56.12,49297,20816,13,13,"0","0"
3,"City and County of Broomfield Mayoral ( 1)","Write-in","",0,0.00,49297,20816,13,13,"0","0"
4,"City and County of Broomfield Councilmember Ward 1 ( 1)","Elizabeth ''Liz'' Law-Evans","",1965,54.49,9326,3839,3,3,"0","0"
5,"City and County of Broomfield Councilmember Ward 1 ( 1)","James Marsh-Holschen","",1641,45.51,9326,3839,3,3,"0","0"
6,"City and County of Broomfield Councilmember Ward 1 ( 1)","Write-in","",0,0.00,9326,3839,3,3,"0","0"
7,"City and County of Broomfield Councilmember Ward 2 ( 1)","Sharon Tessier","",1481,100.00,9235,2046,2,2,"0","0"
8,"City and County of Broomfield Councilmember Ward 2 ( 1)","Write-in","",0,0.00,9235,2046,2,2,"0","0"
9,"City and County of Broomfield Councilmember Ward 3 ( 1)","Rick Fernandez","",2236,47.00,10252,5102,2,2,"0","0"
10,"City and County of Broomfield Councilmember Ward 3 ( 1)","Deven Shaff","",2521,53.00,10252,5102,2,2,"0","0"
11,"City and County of Broomfield Councilmember Ward 3 ( 1)","Write-in","",0,0.00,10252,5102,2,2,"0","0"
12,"City and County of Broomfield Councilmember Ward 4 ( 1)","Brian Devine","",1169,20.47,11537,6186,2,2,"0","0"
13,"City and County of Broomfield Councilmember Ward 4 ( 1)","Jason Anderson","",916,16.04,11537,6186,2,2,"0","0"
14,"City and County of Broomfield Councilmember Ward 4 ( 1)","Kimberly Groom","",2153,37.70,11537,6186,2,2,"0","0"
15,"City and County of Broomfield Councilmember Ward 4 ( 1)","Susan Speece","",1473,25.79,11537,6186,2,2,"0","0"
16,"City and County of Broomfield Councilmember Ward 4 ( 1)","Write-in","",0,0.00,11537,6186,2,2,"0","0"
17,"City and County of Broomfield Councilmember Ward 5 ( 1)","Karl Honegger","",1138,34.48,8947,3643,4,4,"0","0"
18,"City and County of Broomfield Councilmember Ward 5 ( 1)","Grayson Hofferber","",622,18.85,8947,3643,4,4,"0","0"
