"line number","contest name","choice name","party name","total votes","percent of votes","registered voters","ballots cast","num Precinct total","num Precinct rptg","over votes","under votes"
1,"Colorado Mountain College Board of Trustees Director District 1 (Vote For 1)","Charles Cunniffe","",5712,100.00,34743,11140,11,11,"0","0"
2,"Colorado Mountain College Board of Trustees Director District 3 (Vote For 1)","Peg Portscheller","",3697,63.54,34743,11140,11,11,"0","0"
3,"Colorado Mountain College Board of Trustees Director District 3 (Vote For 1)","Randy Winkler","",2121,36.46,34743,11140,11,11,"0","0"
4,"Colorado Mountain College Board of Trustees Director District 7 (Vote For 1)","Doris Dewton","",5691,100.00,34743,11140,11,11,"0","0"
5,"Eagle County School District RE-50J School Board Director District B (Vote For 1)","Kate Cocchiarella","",5017,100.00,29768,9549,8,8,"0","0"
6,"Eagle County School District RE-50J School Board Director District E (Vote For 1)","Inga Haagenson Causey","",4740,100.00,29768,9549,8,8,"0","0"
7,"Eagle County School District RE-50J School Board Director District F (Vote For 1)","Melisa Rewold-Thuon","",4855,100.00,29768,9549,8,8,"0","0"
8,"Eagle County School District RE-50J School Board Director District G (Vote For 1)","Matthew A. Koch","",2096,33.09,29768,9549,8,8,"0","0"
9,"Eagle County School District RE-50J School Board Director District G (Vote For 1)","Michele ''Shelly'' Jarnot","",4239,66.91,29768,9549,8,8,"0","0"
10,"Eagle County Ballot Issue 1A (Vote For 1)","Yes/For","",8179,73.73,34743,11140,11,11,"0","0"
11,"Eagle County Ballot Issue 1A (Vote For 1)","No/Against","",2914,26.27,34743,11140,11,11,"0","0"
12,"Eagle County Ballot Question 1B (Vote For 1)","Yes/For","",9227,85.26,34743,11140,11,11,"0","0"
13,"Eagle County Ballot Question 1B (Vote For 1)","No/Against","",1595,14.74,34743,11140,11,11,"0","0"
14,"Town of Minturn Ballot Question 2A (Vote For 1)","Yes/For","",203,81.20,927,255,1,1,"0","0"
15,"Town of Minturn Ballot Question 2A (Vote For 1)","No/Against","",47,18.80,927,255,1,1,"0","0"
16,"Town of Avon Ballot Question 2B (Vote For 1)","Yes/For","",716,83.74,3519,882,1,1,"0","0"
17,"Town of Avon Ballot Question 2B (Vote For 1)","No/Against","",139,16.26,3519,882,1,1,"0","0"
18,"Town of Eagle Ballot Question 2C (Vote For 1)","Yes/For","",1545,85.41,4593,1870,1,1,"0","0"
19,"Town of Eagle Ballot Question 2C (Vote For 1)","No/Against","",264,14.59,4593,1870,1,1,"0","0"
20,"Town of Eagle Ballot Issue 2D (Vote For 1)","Yes/For","",1096,60.69,4593,1870,1,1,"0","0"
21,"Town of Eagle Ballot Issue 2D (Vote For 1)","No/Against","",710,39.31,4593,1870,1,1,"0","0"
22,"Town of Gypsum Ballot Question 2E (Vote For 1)","Yes","",950,85.20,4067,1137,2,2,"0","0"
23,"Town of Gypsum Ballot Question 2E (Vote For 1)","No","",165,14.80,4067,1137,2,2,"0","0"
24,"Town of Red Cliff Ballot Issue 2F (Vote For 1)","Yes/For","",38,54.29,206,73,1,1,"0","0"
25,"Town of Red Cliff Ballot Issue 2F (Vote For 1)","No/Against","",32,45.71,206,73,1,1,"0","0"
26,"Town of Red Cliff Ballot Question 2G (Vote For 1)","Yes/For","",27,39.71,206,73,1,1,"0","0"
27,"Town of Red Cliff Ballot Question 2G (Vote For 1)","No/Against","",41,60.29,206,73,1,1,"0","0"
28,"Colorado Mountain College Ballot Issue 4B (Vote For 1)","Yes/For","",4765,45.00,34743,11140,11,11,"0","0"
29,"Colorado Mountain College Ballot Issue 4B (Vote For 1)","No/Against","",5823,55.00,34743,11140,11,11,"0","0"
30,"Eagle Cemetery District Ballot Issue 5A (Vote For 1)","Yes/For","",1040,45.14,5927,2428,4,4,"0","0"
31,"Eagle Cemetery District Ballot Issue 5A (Vote For 1)","No/Against","",1264,54.86,5927,2428,4,4,"0","0"
