"line number","contest name","choice name","party name","total votes","percent of votes","registered voters","ballots cast","num Precinct total","num Precinct rptg","over votes","under votes"
1,"Colorado Mountain College Board of Trustees Director District 1 (Vote For 1)","Charles Cunniffe","",7267,100.00,11732,11873,5,5,"0","0"
2,"Colorado Mountain College Board of Trustees Director District 3 (Vote For 1)","Peg Portscheller","",4009,49.42,11732,11873,5,5,"0","0"
3,"Colorado Mountain College Board of Trustees Director District 3 (Vote For 1)","Randy Winkler","",4103,50.58,11732,11873,5,5,"0","0"
4,"Colorado Mountain College Board of Trustees Director District 7 (Vote For 1)","Doris Dewton","",7024,100.00,11732,11873,5,5,"0","0"
5,"Eagle County School District RE-50J School Board Director District B (Vote For 1)","Kate Cocchiarella","",9,100.00,51,14,1,1,"0","0"
6,"Eagle County School District RE-50J School Board Director District E (Vote For 1)","Inga Haagenson Causey","",9,100.00,51,14,1,1,"0","0"
7,"Eagle County School District RE-50J School Board Director District F (Vote For 1)","Melisa Rewold-Thuon","",9,100.00,51,14,1,1,"0","0"
8,"Eagle County School District RE-50J School Board Director District G (Vote For 1)","Matthew A. Koch","",1,8.33,51,14,1,1,"0","0"
9,"Eagle County School District RE-50J School Board Director District G (Vote For 1)","Michele ''Shelly'' Jarnot","",11,91.67,51,14,1,1,"0","0"
10,"De Beque School District 49-JT School Board Director (2 Year Term) (Vote For 1)","Kevin Pittman","",24,100.00,57,32,1,1,"0","0"
11,"De Beque School District 49-JT School Board Director (4 Year Term) (Vote For 3)","Ryan Rose","",8,14.55,57,32,1,1,"0","0"
12,"De Beque School District 49-JT School Board Director (4 Year Term) (Vote For 3)","Wendy K Chapman","",12,21.82,57,32,1,1,"0","0"
13,"De Beque School District 49-JT School Board Director (4 Year Term) (Vote For 3)","Brennan S Rigsby","",16,29.09,57,32,1,1,"0","0"
14,"De Beque School District 49-JT School Board Director (4 Year Term) (Vote For 3)","Dustin Sandidge","",19,34.55,57,32,1,1,"0","0"
15,"Garfield County Ballot Issue 1A (Vote For 1)","Yes/For","",5237,45.09,11789,11905,6,6,"0","0"
16,"Garfield County Ballot Issue 1A (Vote For 1)","No/Against","",6377,54.91,11789,11905,6,6,"0","0"
17,"Town of New Castle Ballot Issue 2A (Vote For 1)","Yes/For","",440,50.00,2697,885,1,1,"0","0"
18,"Town of New Castle Ballot Issue 2A (Vote For 1)","No/Against","",440,50.00,2697,885,1,1,"0","0"
19,"Grand River Hospital District Ballot Issue 4A (Vote For 1)","Yes/For","",3316,66.21,57,5029,2,2,"0","0"
20,"Grand River Hospital District Ballot Issue 4A (Vote For 1)","NO/ AGAINST","",1692,33.79,57,5029,2,2,"0","0"
21,"Colorado Mountain College Ballot Issue 4B (Vote For 1)","Yes/For","",4860,42.22,11732,11873,5,5,"0","0"
22,"Colorado Mountain College Ballot Issue 4B (Vote For 1)","No/Against","",6652,57.78,11732,11873,5,5,"0","0"
23,"Carbondale & Rural Fire Protection District Ballot Issue 4C (Vote For 1)","Yes/For","",1898,67.04,0,2847,1,1,"0","0"
24,"Carbondale & Rural Fire Protection District Ballot Issue 4C (Vote For 1)","No/Against","",933,32.96,0,2847,1,1,"0","0"
