"line number","contest name","choice name","party name","total votes","percent of votes","registered voters","ballots cast","num  total","num  rptg","over votes","under votes"
1,"Bethune School District R-5 Directors - At Large ( 3)","Lee Einspahr","",122,100.00,311,158,1,1,"0","0"
2,"Burlington School District RE-6J Directors - At Large (2 Year Term) ( 1)","Dustin Skarphol","",688,66.47,2717,1067,1,1,"0","0"
3,"Burlington School District RE-6J Directors - At Large (2 Year Term) ( 1)","Annetta Rieber","",347,33.53,2717,1067,1,1,"0","0"
4,"Burlington School District RE-6J Directors - At Large (4 Year Term) ( 3)","Mark Weber","",618,21.44,2717,1067,1,1,"0","0"
5,"Burlington School District RE-6J Directors - At Large (4 Year Term) ( 3)","Mark Hillman","",776,26.92,2717,1067,1,1,"0","0"
6,"Burlington School District RE-6J Directors - At Large (4 Year Term) ( 3)","Stacie Perez","",601,20.85,2717,1067,1,1,"0","0"
7,"Burlington School District RE-6J Directors - At Large (4 Year Term) ( 3)","John Perry","",327,11.34,2717,1067,1,1,"0","0"
8,"Burlington School District RE-6J Directors - At Large (4 Year Term) ( 3)","Amy Barnes","",561,19.46,2717,1067,1,1,"0","0"
9,"Hi-Plains School District R-23 Directors - At Large ( 2)","Bob Johnson","",30,8.29,452,196,1,1,"0","0"
10,"Hi-Plains School District R-23 Directors - At Large ( 2)","Bryan Gorton","",142,39.23,452,196,1,1,"0","0"
11,"Hi-Plains School District R-23 Directors - At Large ( 2)","James L. Mason","",80,22.10,452,196,1,1,"0","0"
12,"Hi-Plains School District R-23 Directors - At Large ( 2)","Ashley N. Hernandez","",110,30.39,452,196,1,1,"0","0"
13,"Idalia School District RJ-3 Directors - At Large ( 3)","Amber Hardwick","",0,0.00,2,0,1,1,"0","0"
14,"Idalia School District RJ-3 Directors - At Large ( 3)","Ken Charles Brenner","",0,0.00,2,0,1,1,"0","0"
15,"Idalia School District RJ-3 Directors - At Large ( 3)","Brandi M Jones","",0,0.00,2,0,1,1,"0","0"
16,"Idalia School District RJ-3 Directors - At Large ( 3)","Kyle Kite","",0,0.00,2,0,1,1,"0","0"
17,"Idalia School District RJ-3 Directors - At Large ( 3)","Paul Brittain","",0,0.00,2,0,1,1,"0","0"
18,"Bethune School District R-5 Ballot Issue 3A ( 1)","Yes/For","",59,37.58,311,158,1,1,"0","0"
19,"Bethune School District R-5 Ballot Issue 3A ( 1)","No/Against","",98,62.42,311,158,1,1,"0","0"
