"line number","contest name","choice name","party name","total votes","percent of votes","registered voters","ballots cast","num  total","num  rptg","over votes","under votes"
1,"City of Sterling Mayor - At Large ( 1)","Dan Torres Jr.","",1667,69.20,6924,2569,3,3,"0","0"
2,"City of Sterling Mayor - At Large ( 1)","Marcus Flores","",742,30.80,6924,2569,3,3,"0","0"
3,"City of Sterling City Councilmember Ward 1 ( 1)","Robert A. McCarty","",976,100.00,2663,1243,1,1,"0","0"
4,"City of Sterling City Councilmember Ward 2 ( 1)","Brenda Rhodes","",448,62.48,2188,778,1,1,"0","0"
5,"City of Sterling City Councilmember Ward 2 ( 1)","Chris Rute","",269,37.52,2188,778,1,1,"0","0"
6,"City of Sterling City Councilmember Ward 3 ( 1)","Dave Appelhans","",397,100.00,2073,548,1,1,"0","0"
7,"Haxtun School District RE-2J Board of Education Director ( 3)","Tamara Durbin","",22,33.33,48,27,1,1,"0","0"
8,"Haxtun School District RE-2J Board of Education Director ( 3)","Staci Tempel","",25,37.88,48,27,1,1,"0","0"
9,"Haxtun School District RE-2J Board of Education Director ( 3)","Jay Wisdom","",19,28.79,48,27,1,1,"0","0"
10,"RE-1 Valley School District Board of Education Director District 1 ( 1)","Dennis A. Kaan","",3117,100.00,10992,4761,4,4,"0","0"
11,"RE-1 Valley School District Board of Education Director District 2 ( 1)","Dena Vogel","",2965,100.00,10992,4761,4,4,"0","0"
12,"RE-1 Valley School District Board of Education Director District 4 ( 1)","Jennifer Ogley","",3018,100.00,10992,4761,4,4,"0","0"
13,"RE-1 Valley School District Board of Education Director District 5 ( 1)","Riste Niiler Capps","",2820,100.00,10992,4761,4,4,"0","0"
14,"RE-1 Valley School District Board of Education Director District 7 ( 1)","Mike Anderson","",3130,100.00,10992,4761,4,4,"0","0"
15,"City of Sterling Referred Ballot Question 2B ( 1)","Yes/For","",1393,61.15,6924,2569,3,3,"0","0"
16,"City of Sterling Referred Ballot Question 2B ( 1)","No/Against","",885,38.85,6924,2569,3,3,"0","0"
17,"Haxtun School District RE-2J Ballot Issue 3A ( 1)","Yes/For","",16,59.26,48,27,1,1,"0","0"
18,"Haxtun School District RE-2J Ballot Issue 3A ( 1)","No/Against","",11,40.74,48,27,1,1,"0","0"
19,"RE-1 Valley School District Referred Ballot Issue 3M ( 1)","Yes/For","",2042,43.22,10992,4761,4,4,"0","0"
20,"RE-1 Valley School District Referred Ballot Issue 3M ( 1)","No/Against","",2683,56.78,10992,4761,4,4,"0","0"
