"line number","contest name","choice name","party name","total votes","percent of votes","registered voters","ballots cast","num Precinct total","num Precinct rptg","over votes","under votes"
1,"City of La Junta Mayor (Vote For 1)","Edward (Ed) Vela","",874,45.69,4338,1994,4,4,"0","0"
2,"City of La Junta Mayor (Vote For 1)","Jeffri Pruyn","",1039,54.31,4338,1994,4,4,"0","0"
3,"City of Rocky Ford Mayor (Vote For 1)","Geneva Hernandez","",193,23.03,2204,874,3,3,"0","0"
4,"City of Rocky Ford Mayor (Vote For 1)","Susan Bumstead","",307,36.63,2204,874,3,3,"0","0"
5,"City of Rocky Ford Mayor (Vote For 1)","J. R. Thompson","",338,40.33,2204,874,3,3,"0","0"
6,"City of La Junta Council Member Ward 1 (Vote For 1)","Eugene Mestas","",358,100.00,1300,430,1,1,"0","0"
7,"City of La Junta Council Member Ward 2 (Vote For 1)","Julie Worley","",268,37.43,1480,743,1,1,"0","0"
8,"City of La Junta Council Member Ward 2 (Vote For 1)","Elaine McIntyre","",448,62.57,1480,743,1,1,"0","0"
9,"City of La Junta Council Member Ward 3 (Vote For 1)","Scott Eckhart","",610,83.22,1558,821,2,2,"0","0"
10,"City of La Junta Council Member Ward 3 (Vote For 1)","Terrance ''TJ'' Hestand","",123,16.78,1558,821,2,2,"0","0"
11,"City of Rocky Ford Council Member Ward 1 (Vote For 1)","Charles ''Bill'' Pattie","",211,100.00,762,293,1,1,"0","0"
12,"City of Rocky Ford Council Member Ward 2 (Vote For 1)","Rachel (Wallace) Patrick","",191,100.00,615,256,1,1,"0","0"
13,"Cheraw School District 31 School Board Member  (2 Year Term) (Vote For 1)","Crystal Provost","",156,100.00,525,239,1,1,"0","0"
14,"Cheraw School District 31 School Board Member  (4 Year Term) (Vote For 2)","Brooke Matthew","",188,42.73,525,239,1,1,"0","0"
15,"Cheraw School District 31 School Board Member  (4 Year Term) (Vote For 2)","Jerid Bruna","",94,21.36,525,239,1,1,"0","0"
16,"Cheraw School District 31 School Board Member  (4 Year Term) (Vote For 2)","Tina Hall","",69,15.68,525,239,1,1,"0","0"
17,"Cheraw School District 31 School Board Member  (4 Year Term) (Vote For 2)","Tyler Collins","",89,20.23,525,239,1,1,"0","0"
18,"East Otero School District R-1 School Board Member  (2 Year Term) (Vote For 2)","Toni Stewart Martinez","",909,25.10,5473,2412,4,4,"0","0"
19,"East Otero School District R-1 School Board Member  (2 Year Term) (Vote For 2)","Thomas J Seaba","",1319,36.42,5473,2412,4,4,"0","0"
20,"East Otero School District R-1 School Board Member  (2 Year Term) (Vote For 2)","Kristin Bickel","",1394,38.49,5473,2412,4,4,"0","0"
21,"East Otero School District R-1 School Board Member  (4 Year Term) (Vote For 2)","Dee Leyba","",1276,36.41,5473,2412,4,4,"0","0"
22,"East Otero School District R-1 School Board Member  (4 Year Term) (Vote For 2)","Kidron Backes","",1065,30.39,5473,2412,4,4,"0","0"
23,"East Otero School District R-1 School Board Member  (4 Year Term) (Vote For 2)","Angela Ayala","",1164,33.21,5473,2412,4,4,"0","0"
24,"Swink School District 33 School Board Member At Large (2 Year Term) (Vote For 2)","Shannon Wallace","",290,47.54,916,404,2,2,"0","0"
25,"Swink School District 33 School Board Member At Large (2 Year Term) (Vote For 2)","Lyn Neve","",320,52.46,916,404,2,2,"0","0"
26,"Swink School District 33 School Board Member At Large (4 Year Term) (Vote For 2)","David Cobb","",103,14.29,916,404,2,2,"0","0"
27,"Swink School District 33 School Board Member At Large (4 Year Term) (Vote For 2)","Roscoe (Rocky) Mueller","",177,24.55,916,404,2,2,"0","0"
28,"Swink School District 33 School Board Member At Large (4 Year Term) (Vote For 2)","Fred R Grantham","",235,32.59,916,404,2,2,"0","0"
29,"Swink School District 33 School Board Member At Large (4 Year Term) (Vote For 2)","Ky Davis","",206,28.57,916,404,2,2,"0","0"
30,"Manzanola School District 3J Director At Large (Vote For 3)","Felipe Padilla","",156,19.02,518,363,1,1,"0","0"
