"line number","contest name","choice name","party name","total votes","percent of votes","registered voters","ballots cast","num Precinct total","num Precinct rptg","over votes","under votes"
1,"Meeker School District RE-1 Director (Vote For 4)","Laura ""Whiteman"" Simonsen","",626,19.42,0,947,1,1,"0","0"
2,"Meeker School District RE-1 Director (Vote For 4)","David W. Smith","",733,22.74,0,947,1,1,"0","0"
3,"Meeker School District RE-1 Director (Vote For 4)","Todd Ivo Shults","",559,17.34,0,947,1,1,"0","0"
4,"Meeker School District RE-1 Director (Vote For 4)","Howard ""Bud"" Ridings","",741,22.99,0,947,1,1,"0","0"
5,"Meeker School District RE-1 Director (Vote For 4)","William deVergie","",564,17.50,0,947,1,1,"0","0"
6,"Rangely School District RE-4 Director (Vote For 2)","Casey Ducey","",316,22.33,0,830,1,1,"0","0"
7,"Rangely School District RE-4 Director (Vote For 2)","Jason Cox","",337,23.82,0,830,1,1,"0","0"
8,"Rangely School District RE-4 Director (Vote For 2)","Samuel M Tolley","",490,34.63,0,830,1,1,"0","0"
9,"Rangely School District RE-4 Director (Vote For 2)","Bart Nielsen","",272,19.22,0,830,1,1,"0","0"
10,"South Routt School District RE-3 Director District 1 (Vote For 1)","Andrew A. Benjamin","",2,100.00,0,2,1,1,"0","0"
11,"South Routt School District RE-3 Director District 1 (Vote For 1)","Loren Lance Miles","",0,0.00,0,2,1,1,"0","0"
12,"South Routt School District RE-3 Director District 3 (Vote For 1)","James Hoff","",0,0.00,0,2,1,1,"0","0"
13,"South Routt School District RE-3 Director District 6 (Vote For 1)","Robert ''Bob'' Logan","",2,100.00,0,2,1,1,"0","0"
14,"Rangely School District RE-4 Ballot Issue 3A (Vote For 1)","Yes/For","",553,67.19,0,830,1,1,"0","0"
15,"Rangely School District RE-4 Ballot Issue 3A (Vote For 1)","No/Against","",270,32.81,0,830,1,1,"0","0"
16,"Western Rio Blanco Metropolitan Recreation and Park District Ballot Issue 5A (Vote For 1)","Yes/For","",552,67.24,0,830,1,1,"0","0"
17,"Western Rio Blanco Metropolitan Recreation and Park District Ballot Issue 5A (Vote For 1)","No/Against","",269,32.76,0,830,1,1,"0","0"
