"line number","contest name","choice name","party name","total votes","percent of votes","registered voters","ballots cast","num  total","num  rptg","over votes","under votes"
1,"Haxtun School District RE-2J Board of Education Director ( 3)","Tamara Durbin","",5,35.71,8,5,1,1,"0","0"
2,"Haxtun School District RE-2J Board of Education Director ( 3)","Staci Tempel","",5,35.71,8,5,1,1,"0","0"
3,"Haxtun School District RE-2J Board of Education Director ( 3)","Jay Wisdom","",4,28.57,8,5,1,1,"0","0"
4,"Holyoke School District RE-1J School Board Director ( 3)","Trampas D Hutches","",4,33.33,10,5,1,1,"0","0"
5,"Holyoke School District RE-1J School Board Director ( 3)","Jon Kleve","",4,33.33,10,5,1,1,"0","0"
6,"Holyoke School District RE-1J School Board Director ( 3)","Patricia Wiebers","",4,33.33,10,5,1,1,"0","0"
7,"Holyoke School District RE-1J School Board Director ( 3)","Sue Razo","",0,0.00,10,5,1,1,"0","0"
8,"Julesburg School District RE-1 Board of Education Director ( 3)","Andi Weisshaar","",219,16.03,1159,511,2,2,"0","0"
9,"Julesburg School District RE-1 Board of Education Director ( 3)","Tasha Harris","",158,11.57,1159,511,2,2,"0","0"
10,"Julesburg School District RE-1 Board of Education Director ( 3)","Tammy Aulston","",225,16.47,1159,511,2,2,"0","0"
11,"Julesburg School District RE-1 Board of Education Director ( 3)","Daniela Fowler","",225,16.47,1159,511,2,2,"0","0"
12,"Julesburg School District RE-1 Board of Education Director ( 3)","Brian Lanckriet","",270,19.77,1159,511,2,2,"0","0"
13,"Julesburg School District RE-1 Board of Education Director ( 3)","Kelly Kinnie","",269,19.69,1159,511,2,2,"0","0"
14,"Revere School District Board of Education Director ( 1)","Anthony Lechman","",197,69.61,612,283,1,1,"0","0"
15,"Revere School District Board of Education Director ( 1)","Gerald Whipple","",86,30.39,612,283,1,1,"0","0"
16,"Haxtun School District RE-2J Ballot Issue 3A ( 1)","Yes/For","",3,60.00,8,5,1,1,"0","0"
17,"Haxtun School District RE-2J Ballot Issue 3A ( 1)","No/Against","",2,40.00,8,5,1,1,"0","0"
18,"Holyoke Fire Protection District Ballot Issue 5A ( 1)","Yes/For","",10,90.91,21,11,2,2,"0","0"
19,"Holyoke Fire Protection District Ballot Issue 5A ( 1)","No/Against","",1,9.09,21,11,2,2,"0","0"
