"line number","contest name","choice name","party name","total votes","percent of votes","registered voters","ballots cast","num  total","num  rptg","over votes","under votes"
1,"City of Victor Clerk/Treasurer ( 1)","Claire Greenwood","",120,100.00,341,170,2,2,"0","0"
2,"City of Victor Mayor ( 1)","Bruce M. Davis","",78,46.15,341,170,2,2,"0","0"
3,"City of Victor Mayor ( 1)","Donald E. Daniel","",91,53.85,341,170,2,2,"0","0"
4,"City of Victor Council Member Ward 1 ( 1)","Diana Bowman","",40,49.38,161,81,1,1,"0","0"
5,"City of Victor Council Member Ward 1 ( 1)","Buck Hakes","",41,50.62,161,81,1,1,"0","0"
6,"City of Victor Council Member Ward 2 ( 1)","Sue Kochevar","",19,21.35,180,89,1,1,"0","0"
7,"City of Victor Council Member Ward 2 ( 1)","Michelle Stevens","",42,47.19,180,89,1,1,"0","0"
8,"City of Victor Council Member Ward 2 ( 1)","Jon Strever","",28,31.46,180,89,1,1,"0","0"
9,"City of Cripple Creek Council Ward 4 ( 1)","Meghan Rozell","",65,65.66,376,111,1,1,"0","0"
10,"City of Cripple Creek Council Ward 4 ( 1)","Scott A. Marshall","",34,34.34,376,111,1,1,"0","0"
11,"City of Cripple Creek Council Ward 5 ( 1)","Jeff Regester","",63,50.00,314,134,1,1,"0","0"
12,"City of Cripple Creek Council Ward 5 ( 1)","Melissa ''Missie'' Trenary","",63,50.00,314,134,1,1,"0","0"
13,"Cripple Creek-Victor School District RE-1 School Board District B ( 1)","Timothy Braun","",662,100.00,3614,1000,5,5,"0","0"
14,"Cripple Creek-Victor School District RE-1 School Board District D ( 1)","Tonya Martin","",729,100.00,3614,1000,5,5,"0","0"
15,"Cripple Creek-Victor School District RE-1 School Board District E ( 1)","Dennis Jones","",480,51.61,3614,1000,5,5,"0","0"
16,"Cripple Creek-Victor School District RE-1 School Board District E ( 1)","Patricia Waddle","",450,48.39,3614,1000,5,5,"0","0"
17,"City of Cripple Creek Ballot Issue 2A ( 1)","Yes/For","",145,60.42,690,245,2,2,"0","0"
18,"City of Cripple Creek Ballot Issue 2A ( 1)","No/Against","",95,39.58,690,245,2,2,"0","0"
19,"Cripple Creek-Victor School District RE-1 Ballot Question 3A ( 1)","Yes/For","",528,59.06,3614,1000,5,5,"0","0"
20,"Cripple Creek-Victor School District RE-1 Ballot Question 3A ( 1)","No/Against","",366,40.94,3614,1000,5,5,"0","0"
21,"Green Mountain Falls - Chipita Park Fire Protection District Ballot Issue 4A ( 1)","Yes/For","",24,100.00,52,24,1,1,"0","0"
22,"Green Mountain Falls - Chipita Park Fire Protection District Ballot Issue 4A ( 1)","No/Against","",0,0.00,52,24,1,1,"0","0"
