"line number","contest name","choice name","party name","total votes","percent of votes","registered voters","ballots cast","num Precinct total","num Precinct rptg","over votes","under votes"
1,"City of Wray City Council (Vote For 3)","Scott Weaver","",276,18.72,1279,523,1,1,"0","0"
2,"City of Wray City Council (Vote For 3)","Robert Kraus","",379,25.71,1279,523,1,1,"0","0"
3,"City of Wray City Council (Vote For 3)","Larry Neuschwanger","",271,18.39,1279,523,1,1,"0","0"
4,"City of Wray City Council (Vote For 3)","Bryce Revell","",104,7.06,1279,523,1,1,"0","0"
5,"City of Wray City Council (Vote For 3)","Greg Jones","",444,30.12,1279,523,1,1,"0","0"
6,"Holyoke School District RE-1J School Board Director (Vote For 3)","Trampas D. Hutches","",9,18.00,45,19,1,1,"0","0"
7,"Holyoke School District RE-1J School Board Director (Vote For 3)","Jon Kleve","",18,36.00,45,19,1,1,"0","0"
8,"Holyoke School District RE-1J School Board Director (Vote For 3)","Patricia Wiebers","",15,30.00,45,19,1,1,"0","0"
9,"Holyoke School District RE-1J School Board Director (Vote For 3)","Sue Razo","",8,16.00,45,19,1,1,"0","0"
10,"Idalia School District RJ-3 Directors - At Large (Vote For 3)","Amber Hardwick","",116,19.66,342,205,1,1,"0","0"
11,"Idalia School District RJ-3 Directors - At Large (Vote For 3)","Ken Charles Brenner","",160,27.12,342,205,1,1,"0","0"
12,"Idalia School District RJ-3 Directors - At Large (Vote For 3)","Brandi M Jones","",97,16.44,342,205,1,1,"0","0"
13,"Idalia School District RJ-3 Directors - At Large (Vote For 3)","Kyle Kite","",158,26.78,342,205,1,1,"0","0"
14,"Idalia School District RJ-3 Directors - At Large (Vote For 3)","Paul Brittain","",59,10.00,342,205,1,1,"0","0"
15,"Haxtun School District RE-2J Board of Education Director (Vote For 3)","Tamara Durbin","",5,35.71,18,5,1,1,"0","0"
16,"Haxtun School District RE-2J Board of Education Director (Vote For 3)","Staci Tempel","",5,35.71,18,5,1,1,"0","0"
17,"Haxtun School District RE-2J Board of Education Director (Vote For 3)","Jay Wisdom","",4,28.57,18,5,1,1,"0","0"
18,"Yuma School District-1 School Board Director - 4 Year Term (Vote For 3)","Lindsey L. Seward-Galles","",708,26.82,2790,996,1,1,"0","0"
19,"Yuma School District-1 School Board Director - 4 Year Term (Vote For 3)","Daniel H. Ross","",690,26.14,2790,996,1,1,"0","0"
20,"Yuma School District-1 School Board Director - 4 Year Term (Vote For 3)","Candy Gilliland","",542,20.53,2790,996,1,1,"0","0"
21,"Yuma School District-1 School Board Director - 4 Year Term (Vote For 3)","Kimberly Langley","",700,26.52,2790,996,1,1,"0","0"
22,"Yuma School District-1 School Board Director - 2 Year Term (Vote For 1)","Duane E. Brown","",885,100.00,2790,996,1,1,"0","0"
23,"City of Wray Ballot Question 2I (Vote For 1)","Yes/For","",434,87.15,1279,523,1,1,"0","0"
24,"City of Wray Ballot Question 2I (Vote For 1)","No/Against","",64,12.85,1279,523,1,1,"0","0"
25,"City of Wray Ballot Question 2J (Vote For 1)","Yes/For","",232,45.49,1279,523,1,1,"0","0"
26,"City of Wray Ballot Question 2J (Vote For 1)","No/Against","",278,54.51,1279,523,1,1,"0","0"
27,"Haxtun School District RE-2J Ballot Issue 3A (Vote For 1)","Yes/For","",2,40.00,18,5,1,1,"0","0"
28,"Haxtun School District RE-2J Ballot Issue 3A (Vote For 1)","No/Against","",3,60.00,18,5,1,1,"0","0"
